state,cityname,mean_household_income
AZ,Dolan Springs,29436
AZ,Bullhead City,40865
AZ,Bullhead City,55714
AZ,Lake Havasu City,60355
AZ,Pinon,30932
AZ,Shonto,40332
AZ,Lakeside,66618
AZ,Show Low,46321
AZ,Tucson,50620
AZ,Tucson,42399
AZ,Ehrenberg,0
AZ,Tucson,36960
AZ,Tucson,29100
AZ,Tucson,31743
AZ,Tucson,41993
AZ,Tucson,42669
AZ,Tucson,65342
AZ,Tucson,83575
AZ,Tucson,111983
AZ,Vail,85403
AZ,Corona,71769
AZ,Sun City,52042
AZ,Green Valley,81394
AZ,Green Valley,42482
AZ,Sahuarita,85037
AZ,Tucson,78314
AZ,Tucson,69154
AZ,Tucson,31177
AZ,Tucson,61881
AZ,St Johns,47256
AZ,Tucson,88549
AZ,Tucson,117775
AZ,Tucson,103565
AZ,Surprise,77691
AZ,Tucson,102169
AZ,Tucson,38145
AZ,Florence,61313
AZ,Apache Junction,38860
AZ,Oracle,80766
AZ,Casa Grande,55664
AZ,Casa Grande,70255
AZ,Mesa,79505
AZ,Picacho,54716
AZ,Nogales,59894
AZ,Buckeye,84867
AZ,Prescott,65618
AZ,Prescott Valley,42560
AZ,Bagdad,86089
AZ,Sedona,75600
AZ,Yuma,36499
AZ,Yuma,55147
AZ,Yuma,50898
AZ,Yuma,64052
AZ,San Luis,39969
AZ,Dateland,0
AZ,El Mirage,61099
AZ,Fort Defiance,32392
AZ,Chinle,46921
AZ,Ganado,26791
AZ,Ft. Defiance,47873
AZ,Eagar,53868
AZ,Bowie,44590
AZ,Benson,48145
AZ,Pomerene,54157
AZ,Tucson,23169
AZ,Douglas,32972
AZ,Litchfield Park,74173
AZ,Hereford,49029
AZ,Ft Huachuca,0
AZ,Sierra Vista,53945
AZ,Sierra Vista,63928
AZ,Sierra Vista,134124
AZ,Hereford,59741
AZ,Flagstaff,92626
AZ,Flagstaff,142894
AZ,Page,85839
AZ,Flagstaff,29332
AZ,Goodyear,57663
AZ,Winslow,74749
AZ,Page,59056
AZ,Flagstaff,64934
AZ,Kaibeto,68234
AZ,Tuba City,49567
AZ,Pine,64766
AZ,Payson,43664
AZ,Miami,45393
AZ,Globe,70289
AZ,San Carlos,51691
AZ,Surprise,86779
AZ,Thatcher,64852
AZ,Safford,52828
AZ,Phoenix,68506
AZ,Thatcher,33315
AZ,Ehrenberg,38049
AZ,Parker,27839
AZ,Cave Creek,76076
AZ,Surprise,47361
AZ,Surprise,66648
AZ,Morristown,67211
AZ,Surprise,89512
AZ,Surprise,55960
AZ,Surprise,100613
AZ,Surprise,61390
AZ,Surprise,51719
AZ,Buckeye,78570
AZ,Buckeye,64123
AZ,Buckeye,69209
AZ,Surprise,35059
AZ,El Mirage,62587
AZ,Phoenix,70546
AZ,Peoria,45443
AZ,Litchfield Park,75997
AZ,Litchfield Park,74862
AZ,Goodyear,57318
AZ,Glendale,68634
AZ,Surprise,52098
AZ,Surprise,68223
AZ,Surprise,74805
AZ,Surprise,94206
AZ,El Mirage,53722
AZ,Glendale,34126
AZ,Peoria,41322
AZ,Avondale,36663
AZ,Youngtown,46831
AZ,Peoria,49033
AZ,Glendale,78406
AZ,Peoria,97948
AZ,El Mirage,41673
AZ,Phoenix,49075
AZ,Peoria,62982
AZ,Phoenix,45412
AZ,Peoria,59615
AZ,Peoria,50209
AZ,Phoenix,58722
AZ,Phoenix,47200
AZ,Avondale,78317
AZ,Chandler,69214
AZ,Tolleson,62737
AZ,Avondale,45979
AZ,Glendale,57211
AZ,Pomerene,59980
AZ,Glendale,43142
AZ,Glendale,42951
AZ,Glendale,31282
AZ,Phoenix,41141
AZ,Peoria,48369
AZ,Glendale,30984
AZ,Glendale,57968
AZ,Peoria,52266
AZ,Glendale,32028
AZ,Glendale,42559
AZ,Glendale,47013
AZ,Phoenix,103743
AZ,Phoenix,48340
AZ,Scottsdale,100189
AZ,Avondale,62606
AZ,Phoenix,127872
AZ,Phoenix,53206
AZ,Phoenix,32557
AZ,Phoenix,68279
AZ,Phoenix,84906
AZ,Mesa,51012
AZ,Phoenix,112139
AZ,Phoenix,76235
AZ,Phoenix,34711
AZ,Phoenix,43236
AZ,Glendale,47875
AZ,Phoenix,59141
AZ,Glendale,89451
AZ,Glendale,73962
AZ,Glendale,75091
AZ,Glendale,103502
AZ,Phoenix,62283
AZ,Phoenix,28514
AZ,Phoenix,30638
AZ,Phoenix,36247
AZ,Paradise Valley,158195
AZ,Glendale,28790
AZ,Phoenix,156210
AZ,Phoenix,64385
AZ,Phoenix,65738
AZ,Phoenix,68470
AZ,Phoenix,75338
AZ,Phoenix,99390
AZ,Phoenix,37367
AZ,Phoenix,31947
AZ,Phoenix,32987
AZ,Phoenix,28292
AZ,Glendale,59661
AZ,Phoenix,78584
AZ,Phoenix,34781
AZ,Phoenix,55964
AZ,Phoenix,100728
AZ,Phoenix,55315
AZ,Phoenix,38576
AZ,Phoenix,24966
AZ,Phoenix,48146
AZ,Phoenix,53956
AZ,Phoenix,41922
AZ,Peoria,60357
AZ,Phoenix,51831
AZ,Phoenix,40947
AZ,Phoenix,23386
AZ,Phoenix,42813
AZ,Phoenix,45718
AZ,Phoenix,78664
AZ,Phoenix,57823
AZ,Phoenix,50241
AZ,Phoenix,29408
AZ,Phoenix,84105
AZ,Glendale,39771
AZ,Phoenix,44890
AZ,Phoenix,24834
AZ,Phoenix,43295
AZ,Phoenix,31140
AZ,Phoenix,40916
AZ,Phoenix,19270
AZ,Phoenix,24292
AZ,Fort Defiance,44216
AZ,Phoenix,35967
AZ,Phoenix,37136
AZ,Phoenix,0
AZ,Phoenix,108707
AZ,Phoenix,25534
AZ,Phoenix,29616
AZ,Phoenix,35368
AZ,Phoenix,37930
AZ,Phoenix,53412
AZ,Phoenix,42456
AZ,Phoenix,66692
AZ,Phoenix,55383
AZ,Phoenix,73010
AZ,Phoenix,68700
AZ,Phoenix,32221
AZ,Phoenix,52684
AZ,Phoenix,87130
AZ,Phoenix,48421
AZ,Phoenix,111515
AZ,Phoenix,162988
AZ,Phoenix,24327
AZ,Phoenix,33073
AZ,Scottsdale,57926
AZ,Fountain Hills,62943
AZ,Fountain Hills,135062
AZ,Phoenix,97055
AZ,Scottsdale,135404
AZ,Scottsdale,99025
AZ,Scottsdale,53478
AZ,Phoenix,122412
AZ,Phoenix,83666
AZ,Scottsdale,175150
AZ,Scottsdale,144695
AZ,Hereford,48342
AZ,Scottsdale,81232
